foodgroup,broad_group,broad_group1,HUS_total_FL_nofeed,MED_total_FL_nofeed,VEG_total_FL_nofeed,PHD_total_FL_nofeed,CURRENT_total_FL_nofeed
added_sugar,Other,Other,0.012419160971818152,0.012419160971818152,0.012936626012310574,0.010266506403369673,0.026335308106612706
dairy_tot,Dairy,Dairy,0.14545138154944467,0.09696758769962978,0.14545138154944467,0.06507891791921461,0.06716831740594476
fruit_exc_juice,Fruit,Fruit,0.0951841280624717,0.11867112070126341,0.0951841280624717,0.049120995685007614,0.04352732825797747
fruit_juice,Fruit,Fruit,0.061033682083465934,0.07695551219219617,0.061033682083465934,0.02072163812291586,0.027984179674446247
gr_refined,Grains,Grains,0.010379988335941578,0.010379988335941578,0.010379988335941578,0,0.018168301831184536
gr_whole,Grains,Grains,0.011332109875263993,0.011332109875263993,0.01322079485447466,0.029280394331819372,0.0033518034017754627
leg_tot,Protein,Plant Protein,0.007805858501275677,0.007805858501275677,0.023841806944113753,0.030819840851100205,0.004790271008218191
oil,Other,Oil,0.015229528726846669,0.015229528726846669,0.015229528726846669,0.018049811824410865,0.01555565754957422
pf_egg,Protein,Animal Protein,0.00762762066079023,0.00762762066079023,0.006810375589991276,0.003305302286342433,0.009479916225466139
pf_ns,Protein,Plant Protein,0.02558429658336377,0.02558429658336377,0.040609994576767894,0.10829331887138104,0.030363192377809618
pf_poultry_tot,Protein,Animal Protein,0.015811747739507484,0.015811747739507484,0,0.008663971364113694,0.019830411358926582
pf_redm_tot,Protein,Animal Protein,0.0974044120680308,0.0974044120680308,0,0.019882074269399398,0.12160449647800042
pf_seafood,Protein,Animal Protein,0.07480020143103179,0.1402503776831846,0,0.0505546188982146,0.040028122530820984
sat_fat,Other,Other,0.019959118871786752,0.019959118871786752,0.02079074882477787,0.014131056161225022,NA
veg_dg,Vegetables,Vegetables,0.008509294060025319,0.008509294060025319,0.008509294060025319,0.026922060302904963,0.006695901406351599
veg_oth,Vegetables,Vegetables,0.02335313579670226,0.02335313579670226,0.02335313579670226,0.02335313579670226,0.022808889554095397
veg_ro,Vegetables,Vegetables,0.033838405466203536,0.033838405466203536,0.033838405466203536,0.023926145279133816,0.01619162694089074
veg_sta,Vegetables,Vegetables,0.008658563005322624,0.008658563005322624,0.008658563005322624,0.0036185039425228873,0.005219055582100953
