HUS_total_FL,MED_total_FL,VEG_total_FL,PHD_total_FL,CURRENT_total_FL,simulation_name
0.772848185705018,0.8238907656822997,0.5678231192388492,0.5459973767868131,0.5570293324860781,baseline
0.7654083011422661,0.8164508811195477,0.5600732394859826,0.5398470722149382,0.5412527713574868,min_added_sugar
0.7539022767009246,0.8112601596795707,0.5488772102347558,0.5375204600064581,0.5482802589745385,min_dairy_tot
0.706843428131773,0.7415991198766954,0.5018183616656041,0.5119347712039013,0.5268456158522162,min_fruit_exc_juice
0.7198675827220904,0.7570891358342605,0.5148425162559216,0.5280098517830824,0.5327375207761569,min_fruit_juice
0.7673480528439188,0.8183906328212005,0.56232298637775,0.5459973767868131,0.5474023395937974,min_gr_refined
0.7630176334000219,0.8140602133773036,0.5563541415496871,0.5205967716781237,0.5541216587148291,min_gr_whole
0.76609014880838,0.8171327287856616,0.5471817239349873,0.5193146459140706,0.5528820848498132,min_leg_tot
0.7595262544807867,0.8105688344580683,0.5545011880146178,0.5302084212617981,0.5434221221948092,min_oil
0.7726572765685011,0.8236998565457827,0.5676526646526734,0.5459146494943224,0.5567920628706448,min_pf_egg
0.7481602621386141,0.7992028421158957,0.5286359389747158,0.4414982294157908,0.5277299468174951,min_pf_ns
0.7675920281906259,0.8186346081679075,0.5678231192388492,0.5431172904775572,0.5504372866607279,min_pf_poultry_tot
0.6629518253162809,0.7139944052935626,0.5678231192388492,0.5235654606877816,0.41982926848380875,min_pf_redm_tot
0.7018680940488728,0.6908030938270274,0.5678231192388492,0.4980246251847288,0.5190454801473814,min_pf_seafood
0.7520489703920132,0.8030915503692949,0.5461572699544692,0.5312715323452057,0.5570293324860781,min_sat_fat
0.7674210720385615,0.818463652015843,0.5623960055723927,0.5288268476726002,0.5527587763417828,min_veg_dg
0.7585220842552963,0.8095646642325779,0.5534970177891274,0.5316712753370914,0.5430371016973712,min_veg_oth
0.7437776608638391,0.7948202408411207,0.5387525943976702,0.5254424602324441,0.5431191293686651,min_veg_ro
0.766338888845877,0.8173814688231585,0.5613138223797082,0.543277073621799,0.5531057735667322,min_veg_sta
0.8139336130560747,0.8649761930333564,0.6106204393961999,0.5799613300636867,0.6441525600887498,max_added_sugar
1.3992945037883913,1.2415216444045483,1.1942694373222222,0.8262865571373157,0.8463173728097493,max_dairy_tot
1.6300107834658348,1.892561017436045,1.424985716999666,0.988347179459005,0.9490064249138019,max_fruit_exc_juice
1.1132822440510082,1.2531337088142003,0.9082571775848394,0.6615786611031376,0.7131196670496537,max_fruit_juice
0.9492969498344717,1.0003395298117532,0.7442718833683029,0.5459973767868131,0.8658711443157829,max_gr_refined
1.0230016012806962,1.0740441812579777,0.859668770743807,1.1923545628829024,0.6310195318859737,max_gr_whole
0.7844270268895382,0.8354696068668198,0.6031889276393946,0.59171407053533,0.564134993858995,max_leg_tot
1.0234942884029896,1.0745368683802712,0.8184692219368207,0.8430594244288535,0.8130428316321119,max_oil
0.8000172767737012,0.8510598567509827,0.5920812362644591,0.5577706495832425,0.5907961804596756,max_pf_egg
0.9246145699406166,0.9756571499178982,0.8087221418350374,1.1883947703766484,0.7371441895045229,max_pf_ns
0.7737277899963579,0.8247703699736395,0.5678231192388492,0.546479351740972,0.558132494212265,max_pf_poultry_tot
0.8138186692427825,0.864861249220064,0.5678231192388492,0.5543602238001712,0.6081789150901011,max_pf_redm_tot
1.0171690802734685,1.2819924429981444,0.5678231192388492,0.7111246020813522,0.6877737224412701,max_pf_seafood
0.7923182961401278,0.8433608761174095,0.588104484275422,0.5597822149748709,0.5570293324860781,max_sat_fat
0.8851376522699868,0.9361802322472684,0.680112585803818,0.9012634856929289,0.6453890943872443,max_veg_dg
1.5920182556264943,1.643060835603776,1.3869931891603255,1.3651674467082895,1.357108594368245,max_veg_oth
0.8525213554788327,0.9035639354561144,0.6474962890126639,0.6023319412733488,0.5951528263210432,max_veg_ro
4.8202846937734805,4.8713272737507625,4.615259627307312,2.237463380158708,2.9966715788552043,max_veg_sta
