foodgroup,FLper100gram,FLper100gram_nofeed,FLper100gram_min,FLper100gram_max
added_sugar,0.02743586807939824,0.02743586807939824,0.011000000000000001,0.11820000000000001
dairy_tot,0.03148835517447615,0.02497437440865238,0.028235294117647056,0.13905079100749376
fruit_exc_juice,0.0156381958308513,0.0156381958308513,0.004794,0.15646500000000002
fruit_juice,0.04630723141724114,0.04630723141724114,0.006109999999999999,0.3046
gr_refined,0.00744488425181665,0.00744488425181665,0.0034999999999999996,0.134
gr_whole,0.00528283235338717,0.00528283235338717,7e-4,0.12190000000000001
leg_tot,0.01787905528970339,0.01787905528970339,0.0024000000000000002,0.0444
oil,0.04710334300878818,0.04710334300878818,0.0059,0.8223255813953488
pf_egg,0.02776304557418892,0.02065813913470416,0.027246,0.10134599999999999
pf_ns,0.23404456405340932,0.23404456405340932,0.0082,1.6223999999999998
pf_poultry_tot,0.0439083876189402,0.0304083876189402,0.0338,0.0456
pf_redm_tot,0.1849351083628359,0.13590546608311985,0.031599999999999996,0.2421
pf_seafood,0.15637277103964106,0.14065620269537615,0.0229,0.6158
sat_fat,0.1411809104880816,0.1030437122140975,0.0338,0.2417
veg_dg,0.01573657928762073,0.01573657928762073,0.0057,0.22339799999999999
veg_oth,0.01474602498723501,0.01474602498723501,0.0057,0.532
veg_ro,0.01578408095241457,0.01578408095241457,0.002224,0.052947999999999995
veg_sta,0.00201430684159469,0.00201430684159469,5e-4,0.9436
