foodgroup,HUS_consumed_grams,MED_consumed_grams,VEG_consumed_grams,PHD_consumed_grams,CURRENT_consumed_grams,se_grams
added_sugar,30,30,31.25,24.8,63.616152894,1.1518223556
dairy_tot,447,298,447,200,206.421125469,3.753332648
fruit_exc_juice,234.08,291.84,234.08,120.80000000000001,107.04386546399999,3.8433923520000004
fruit_juice,115.46000000000001,145.57999999999998,115.46000000000001,39.2,52.938857282,1.7811441920000002
gr_refined,108,108,108,0,189.03456673199997,1.980857664
gr_whole,153,153,178.5,395.32800000000003,45.254231217,1.521261813
leg_tot,34.04,34.04,103.97,134.4,20.889544064,1.033399344
oil,27,27,27,32,27.57818455,0.29325908
pf_egg,24,24,21.428571428571427,10.4,29.8281731,0.81975445
pf_leg,9.428571428571429,9.428571428571429,18.48,114.4,NA,NA
pf_ns,9.45,9.45,15,40,11.21516736,0.577493925
pf_poultry_tot,42.339999999999996,42.339999999999996,0,23.200000000000003,53.101000014,1.2687072540000002
pf_redm_tot,54.87,54.87,0,11.200000000000001,68.502427971,1.403605259
pf_seafood,33.14285714285714,62.14285714285714,0,22.400000000000002,17.735865965000002,0.852766576
pf_soy,1.92,1.92,27.428571428571427,20,NA,NA
sat_fat,13.333333333333334,13.333333333333334,13.88888888888889,9.440000000000001,NA,NA
veg_dg,25.285714285714285,25.285714285714285,25.285714285714285,80,19.89714407,1.018331622
veg_oth,80,80,80,80,78.13559516,1.88313902
veg_ro,113.14285714285714,113.14285714285714,113.14285714285714,80,54.138689712,1.333831392
veg_sta,95.71428571428572,95.71428571428572,95.71428571428572,40,57.692965546,1.669737016
