foodgroup,FLper100gram
added_sugar,0.02743586807939824
dairy_tot,0.03148835517447615
fruit_exc_juice,0.0156381958308513
fruit_juice,0.04630723141724114
gr_refined,0.00744488425181665
gr_whole,0.00528283235338717
leg_tot,0.01787905528970339
oil,0.04710334300878818
pf_egg,0.02776304557418892
pf_ns,0.23404456405340932
pf_poultry_tot,0.0439083876189402
pf_redm_tot,0.1849351083628359
pf_seafood,0.15637277103964106
sat_fat,0.1411809104880816
veg_dg,0.01573657928762073
veg_oth,0.01474602498723501
veg_ro,0.01578408095241457
veg_sta,0.00201430684159469
